16:13:27.086 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	2e010000> 	16:13:27.086	2e01	0000	012e	0000	302	0
16:13:31.917 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	89020000> 	16:13:31.917	8902	0000	0289	0000	649	0
16:13:35.546 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	8a020000> 	16:13:35.546	8a02	0000	028a	0000	650	0
16:14:24.597 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	88028802> 	16:14:24.597	8802	8802	0288	0288	648	648
16:15:07.527 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	15021502> 	16:15:07.527	1502	1502	0215	0215	533	533
16:15:14.848 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	f701f701> 	16:15:14.848	f701	f701	01f7	01f7	503	503
16:19:55.579 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	89020000> 	16:19:55.579	8902	0000	0289	0000	649	0
16:19:58.789 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	87028702> 	16:19:58.789	8702	8702	0287	0287	647	647
16:22:11.540 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	88020000> 	16:22:11.540	8802	0000	0288	0000	648	0
16:22:14.750 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	89020000> 	16:22:14.750	8902	0000	0289	0000	649	0
16:23:43.431 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	87020000> 	16:23:43.431	8702	0000	0287	0000	647	0
16:23:46.731 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	88020000> 	16:23:46.731	8802	0000	0288	0000	648	0
16:24:51.411 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	76007600> 	16:24:51.411	7600	7600	0076	0076	118	118
16:24:59.542 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	88020000> 	16:24:59.542	8802	0000	0288	0000	648	0
16:26:14.753 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	5d000000> 	16:26:14.753	5d00	0000	005d	0000	93	0
16:26:25.342 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	5f005f00> 	16:26:25.342	5f00	5f00	005f	005f	95	95
16:31:50.591 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	85020000> 	16:31:50.591	8502	0000	0285	0000	645	0
16:31:56.052 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	86028602> 	16:31:56.052	8602	8602	0286	0286	646	646
16:38:52.714 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	84020000> 	16:38:52.714	8402	0000	0284	0000	644	0
16:38:59.490 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	84028402> 	16:38:59.490	8402	8402	0284	0284	644	644
16:42:16.470 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	88028802> 	16:42:16.470	8802	8802	0288	0288	648	648
16:43:14.671 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	87028702> 	16:43:14.671	8702	8702	0287	0287	647	647
16:44:06.482 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	88028802> 	16:44:06.482	8802	8802	0288	0288	648	648
16:47:14.283 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	fc00fc00> 	16:47:14.283	fc00	fc00	00fc	00fc	252	252
16:47:16.774 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	f4000000> 	16:47:16.774	f400	0000	00f4	0000	244	0
16:47:29.793 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	22012201> 	16:47:29.793	2201	2201	0122	0122	290	290
17:02:03.426 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	bc000000> 	17:02:03.426	bc00	0000	00bc	0000	188	0
17:02:04.987 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	e9000000> 	17:02:04.987	e900	0000	00e9	0000	233	0
17:02:05.047 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	e9000000> 	17:02:05.047	e900	0000	00e9	0000	233	0
17:02:05.106 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	e9000000> 	17:02:05.106	e900	0000	00e9	0000	233	0
17:02:05.167 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	d5000000> 	17:02:05.167	d500	0000	00d5	0000	213	0
17:02:05.196 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	c0000000> 	17:02:05.196	c000	0000	00c0	0000	192	0
17:02:05.256 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	af000000> 	17:02:05.256	af00	0000	00af	0000	175	0
17:02:05.316 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	a7000000> 	17:02:05.316	a700	0000	00a7	0000	167	0
17:02:05.346 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	9f000000> 	17:02:05.346	9f00	0000	009f	0000	159	0
17:02:05.406 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	9c000000> 	17:02:05.406	9c00	0000	009c	0000	156	0
17:02:05.466 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	9a000000> 	17:02:05.466	9a00	0000	009a	0000	154	0
17:02:05.496 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	99000000> 	17:02:05.496	9900	0000	0099	0000	153	0
17:02:05.556 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	98000000> 	17:02:05.556	9800	0000	0098	0000	152	0
17:02:05.616 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	98000000> 	17:02:05.616	9800	0000	0098	0000	152	0
17:02:05.676 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	97000000> 	17:02:05.676	9700	0000	0097	0000	151	0
17:02:05.706 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	97000000> 	17:02:05.706	9700	0000	0097	0000	151	0
17:02:05.766 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	97000000> 	17:02:05.766	9700	0000	0097	0000	151	0
17:02:05.826 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	96000000> 	17:02:05.826	9600	0000	0096	0000	150	0
17:02:05.856 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	96000000> 	17:02:05.856	9600	0000	0096	0000	150	0
17:02:05.917 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	96000000> 	17:02:05.917	9600	0000	0096	0000	150	0
17:02:05.976 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	95000000> 	17:02:05.976	9500	0000	0095	0000	149	0
17:02:06.006 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	94000000> 	17:02:06.006	9400	0000	0094	0000	148	0
17:02:06.066 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	94000000> 	17:02:06.066	9400	0000	0094	0000	148	0
17:02:06.126 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	93000000> 	17:02:06.126	9300	0000	0093	0000	147	0
17:02:06.156 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	93000000> 	17:02:06.156	9300	0000	0093	0000	147	0
17:02:06.216 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	93000000> 	17:02:06.216	9300	0000	0093	0000	147	0
17:02:06.276 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	93000000> 	17:02:06.276	9300	0000	0093	0000	147	0
17:02:06.336 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	93000000> 	17:02:06.336	9300	0000	0093	0000	147	0
17:02:06.366 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	93000000> 	17:02:06.366	9300	0000	0093	0000	147	0
17:02:06.426 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	92000000> 	17:02:06.426	9200	0000	0092	0000	146	0
17:02:06.486 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	92000000> 	17:02:06.486	9200	0000	0092	0000	146	0
17:02:06.546 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	92000000> 	17:02:06.546	9200	0000	0092	0000	146	0
17:02:06.576 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	92000000> 	17:02:06.576	9200	0000	0092	0000	146	0
17:02:06.637 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	92000000> 	17:02:06.637	9200	0000	0092	0000	146	0
17:02:06.696 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	91000000> 	17:02:06.696	9100	0000	0091	0000	145	0
17:02:06.726 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	91000000> 	17:02:06.726	9100	0000	0091	0000	145	0
17:02:06.786 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	90000000> 	17:02:06.786	9000	0000	0090	0000	144	0
17:02:06.846 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	90000000> 	17:02:06.846	9000	0000	0090	0000	144	0
17:02:06.876 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	90000000> 	17:02:06.876	9000	0000	0090	0000	144	0
17:02:06.936 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	8f000000> 	17:02:06.936	8f00	0000	008f	0000	143	0
17:02:06.996 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	8f000000> 	17:02:06.996	8f00	0000	008f	0000	143	0
