15:41:16.383 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) read: 	02010000> 
15:41:17.404 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	02010000> 
15:41:17.494 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	02010000> 
15:41:17.554 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	02010000> 
15:41:17.673 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	02010000> 
15:41:17.764 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	02010000> 
15:41:17.854 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	02010000> 
15:41:17.973 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	02010000> 
15:41:18.064 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	02010000> 
15:41:18.154 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	02010000> 
15:41:18.304 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	02010000> 
15:41:18.364 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	02010000> 
15:41:18.485 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	02010000> 
15:41:18.574 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	02010000> 
15:41:18.664 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	02010000> 
15:41:18.754 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
15:41:18.874 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
15:41:18.964 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
15:41:19.054 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
15:41:19.174 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
15:41:19.264 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
15:41:19.353 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
15:41:19.474 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
15:41:19.564 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
15:41:19.653 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
15:41:19.774 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
15:41:19.864 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
15:41:19.954 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
15:41:20.104 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
15:41:20.164 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
15:41:20.254 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
15:41:20.374 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
15:41:20.463 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
15:41:20.554 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
15:41:20.675 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
15:41:20.763 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
15:41:20.854 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
15:41:20.974 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	03010000> 
